filename,project,anchor_sentence
[극비] 고객 불만 대응 프로세스_137.txt,블랙레이븐,"지원 지표: 기준 적합률 95%, 감사 대응 소요 5일"
[극비] 고객 불만 대응 프로세스_137.txt,블랙레이븐,보안: 민감 정보는 마스킹 후 처리한다.
[극비] 고객 불만 대응 프로세스_137.txt,블랙레이븐,특수 | 전담 배정 | 추가 승인
[극비] 고객 불만 대응 프로세스_137.txt,블랙레이븐,"SLA: 긴급 건 4시간, 일반 건 1일 내 1차 응답"
[극비] 고객 불만 대응 프로세스_137.txt,블랙레이븐,"검토 리드타임 8일, 재검토 비율 14%"
[극비] 고객 불만 대응 프로세스_137.txt,블랙레이븐,"이슈 재발률 7%, 개선 반영 주기 6주"
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,"상위 리스크: 공급 지연, 규정 변경, 품질 편차, 보안 위반"
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,목적: 가상 규제 카테고리별 대응 체계를 수립하고 승인/감사 루프를 명확히 한다.
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,증빙 보관: 변경 이력 및 승인 기록은 35개월 보관
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,승인 체계: 정책 변경은 3단계 승인 후 적용한다.
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,리스크 매트릭스: 영향도(낮음/중간/높음) × 발생 가능성(희박/가능/빈번)
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,"감사 루프: 분기별 자체 점검, 반기별 모의 감사 절차를 유지한다."
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,"산출물: 규제 매핑표, 증빙 인벤토리, 감사 체크리스트"
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,대응 원칙: 회피/완화/전가/수용 중 사전 선택
[극비] 규제 대응 및 컴플라이언스 계획_193.txt,블랙레이븐,데이터 거버넌스 | 중 | 접근 로그 확인
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,"상위 리스크: 공급 지연, 규정 변경, 품질 편차, 보안 위반"
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,목적: 가상 규제 카테고리별 대응 체계를 수립하고 승인/감사 루프를 명확히 한다.
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,증빙 보관: 변경 이력 및 승인 기록은 19개월 보관
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,승인 체계: 정책 변경은 3단계 승인 후 적용한다.
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,리스크 매트릭스: 영향도(낮음/중간/높음) × 발생 가능성(희박/가능/빈번)
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,"감사 루프: 분기별 자체 점검, 반기별 모의 감사 절차를 유지한다."
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,"산출물: 규제 매핑표, 증빙 인벤토리, 감사 체크리스트"
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,대응 원칙: 회피/완화/전가/수용 중 사전 선택
[극비] 규제 대응 및 컴플라이언스 계획_264.txt,하이게이트,데이터 거버넌스 | 중 | 접근 로그 확인
[극비] 기술검토서_T-104.txt,하이게이트,튜닝 결과 요약: 윈도우 길이: 19프레임으로 조정 시 지연-정확도 균형이 개선됨; 신뢰도 감쇠율: 0.37로 설정 후 오탐 비율이 감소; 스코어 임계치: 71점 구간에서 보수 모드 전환 비율이 안정화됨; 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함; 가중치 분배: 핵심 지표 62% / 보조 지표 42% 비율이 안정적
[극비] 기술검토서_T-104.txt,하이게이트,"리스크: 주요 리스크는 입력 품질 저하, 예외 경로 누락, 통합 지연으로 분류한다. 모듈 경계에서의 책임 분리를 명확히 하고, 실패 전파를 차단한다."
[극비] 기술검토서_T-104.txt,하이게이트,"성능 지표: 평균 지연 31ms, 정확도 87%, 신호대잡음비 35dB, 처리량 126Mbps, 전력 24W, 동작 온도 상한 81C를 목표로 한다."
[극비] 기술검토서_T-104.txt,하이게이트,"범위: 상태 추적 서브시스템, 장치 자가진단 블록, 센서 집계 계층, 통신 게이트웨이을(를) 핵심 구성으로 정의한다."
[극비] 기술검토서_T-104.txt,하이게이트,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 기술검토서_T-104.txt,하이게이트,일정 계획:
[극비] 기술검토서_T-104.txt,하이게이트,- 현장 재현: 2026-06-26 ~ 2026-07-17
[극비] 기술검토서_T-104.txt,하이게이트,- 모듈 통합: 2026-10-09 ~ 2027-02-17
[극비] 기술검토서_T-104.txt,하이게이트,- 시뮬레이션: 2026-10-10 ~ 2026-11-14
[극비] 기술검토서_T-104.txt,하이게이트,- 현장 재현: 2026-08-09 ~ 2026-12-25
[극비] 기술검토서_T-106.txt,하이게이트,튜닝 결과 요약: 스코어 임계치: 85점 구간에서 보수 모드 전환 비율이 안정화됨; 신뢰도 감쇠율: 0.23로 설정 후 오탐 비율이 감소; 가중치 분배: 핵심 지표 55% / 보조 지표 43% 비율이 안정적; 윈도우 길이: 11프레임으로 조정 시 지연-정확도 균형이 개선됨; 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함
[극비] 기술검토서_T-106.txt,하이게이트,"리스크: 모듈 경계에서의 책임 분리를 명확히 하고, 실패 전파를 차단한다. 리스크 완화는 단계별 게이트와 롤백 절차로 구성한다."
[극비] 기술검토서_T-106.txt,하이게이트,"범위: 보안 제어 노드, 통신 게이트웨이, 데이터 정합성 검사기, 센서 집계 계층을(를) 핵심 구성으로 정의한다."
[극비] 기술검토서_T-106.txt,하이게이트,"성능 지표: 평균 지연 123ms, 정확도 99%, 신호대잡음비 44dB, 처리량 126Mbps, 전력 99W, 동작 온도 상한 64C를 목표로 한다."
[극비] 기술검토서_T-106.txt,하이게이트,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 기술검토서_T-106.txt,하이게이트,일정 계획:
